            date_time       impl  bch_sz  accuracy  total_time [s]  cpu_time [s]  cpu_lat [ms]  gpu_time [s]  gpu_lat [ms]                                             layers  size [Bytes]
60  18-11-22_16-26-54        xyz      16     67.08           68.61         23.73        2.3732         44.88        4.4881  [[16, 1, xyz, 0.0, 0.0, 0.0], [16, 2, xyz, 1.2...       2054408
61  18-11-22_16-26-54        xyz      32     67.08           96.60         22.57        2.2570         74.03        7.4030  [[32, 1, xyz, 0.0, 0.0, 0.0], [32, 2, xyz, 1.0...       2054408
62  18-11-22_16-26-54        xyz      64     67.08          107.13         22.47        2.2475         84.66        8.4658  [[64, 1, xyz, 0.0, 0.0, 0.0], [64, 2, xyz, 1.0...       2054408
63  18-11-22_16-26-54        xyz     128     67.08          117.11         22.04        2.2038         95.07        9.5067  [[128, 1, xyz, 0.0, 0.0, 0.0], [128, 2, xyz, 1...       2054408
64  18-11-22_16-26-54  automatic      16     67.08           42.45         22.63        2.2627         19.82        1.9820  [[16, 1, automatic, 0.0, 0.0, 0.0], [16, 2, au...       2036512


Total runtime of every implementation (excl. auto): 8624.020s

Total runtime of every implementation (incl. auto): 8666.470s


Total runtime including script: 9367.263s
