            date_time       impl  bch_sz  accuracy  total_time [s]  cpu_time [s]  cpu_lat [ms]  gpu_time [s]  gpu_lat [ms]                                             layers  size [Bytes]
52  24-11-22_10-59-03         yz      16     77.24           57.90         16.23        1.6227         41.67        4.1667  [[16, 1, yz, 0.0, 0.0, 0.0], [16, 2, yz, 3.74,...        925040
53  24-11-22_10-59-03         yz      32     77.24           66.02         11.76        1.1758         54.26        5.4258  [[32, 1, yz, 0.0, 0.0, 0.0], [32, 2, yz, 2.98,...        929136
54  24-11-22_10-59-03         yz      64     77.24           73.02          9.35        0.9349         63.67        6.3674  [[64, 1, yz, 0.0, 0.0, 0.0], [64, 2, yz, 2.41,...        933328
55  24-11-22_10-59-03         yz     128     77.24           85.50          8.23        0.8230         77.27        7.7274  [[128, 1, yz, 0.0, 0.0, 0.0], [128, 2, yz, 1.8...        937528
56  24-11-22_10-59-03        xyz       1     77.24          128.45         60.78        6.0777         67.67        6.7669  [[1, 1, xyz, 0.0, 0.0, 0.0], [1, 2, xyz, 10.71...        916824
57  24-11-22_10-59-03        xyz       2     77.24           80.86         36.78        3.6779         44.08        4.4077  [[2, 1, xyz, 0.0, 0.0, 0.0], [2, 2, xyz, 6.91,...        916848
58  24-11-22_10-59-03        xyz       4     77.24           55.70         24.25        2.4248         31.45        3.1447  [[4, 1, xyz, 0.0, 0.0, 0.0], [4, 2, xyz, 4.41,...        916848
59  24-11-22_10-59-03        xyz       8     77.24           38.53         16.61        1.6605         21.92        2.1916  [[8, 1, xyz, 0.0, 0.0, 0.0], [8, 2, xyz, 2.74,...        921048
60  24-11-22_10-59-03        xyz      16     77.24           25.89         11.83        1.1831         14.06        1.4056  [[16, 1, xyz, 0.0, 0.0, 0.0], [16, 2, xyz, 2.4...        916848
61  24-11-22_10-59-03        xyz      32     77.24           23.82          9.78        0.9784         14.04        1.4039  [[32, 1, xyz, 0.0, 0.0, 0.0], [32, 2, xyz, 2.1...        916848
62  24-11-22_10-59-03        xyz      64     77.24           24.56          8.62        0.8616         15.94        1.5940  [[64, 1, xyz, 0.0, 0.0, 0.0], [64, 2, xyz, 2.1...        921040
63  24-11-22_10-59-03        xyz     128     77.24           25.42          7.90        0.7899         17.52        1.7518  [[128, 1, xyz, 0.0, 0.0, 0.0], [128, 2, xyz, 2...        925240
64  24-11-22_10-59-03  automatic      64     77.24           10.63          6.32        0.6319          4.31        0.4311  [[64, 1, automatic, 0.0, 0.0, 0.0], [64, 2, au...        919448


Total runtime of every implementation (excl. auto): 3222.950s

Total runtime of every implementation (incl. auto): 3233.580s


Total runtime including script: 4454.220s
